wingRegion,Image,tricomeCount
13,KP_EF_R1_16.tif,66
14,KP_EF_R1_16.tif,72
15,KP_EF_R1_16.tif,63
16,KP_EF_R1_16.tif,67
1,KP_EF_R2_05.tif,63
2,KP_EF_R2_05.tif,63
3,KP_EF_R2_05.tif,72
4,KP_EF_R2_05.tif,64
5,KP_EF_R2_05.tif,69
6,KP_EF_R2_05.tif,60
7,KP_EF_R2_05.tif,75
8,KP_EF_R2_05.tif,78
9,KP_EF_R2_05.tif,76
10,KP_EF_R2_05.tif,83
11,KP_EF_R2_05.tif,67
12,KP_EF_R2_05.tif,73
13,KP_EF_R2_05.tif,79
14,KP_EF_R2_05.tif,78
15,KP_EF_R2_05.tif,58
16,KP_EF_R2_05.tif,78
1,KP_EF_R2_04.tif,60
2,KP_EF_R2_04.tif,69
3,KP_EF_R2_04.tif,73
4,KP_EF_R2_04.tif,72
5,KP_EF_R2_04.tif,69
6,KP_EF_R2_04.tif,60
7,KP_EF_R2_04.tif,69
8,KP_EF_R2_04.tif,69
9,KP_EF_R2_04.tif,79
10,KP_EF_R2_04.tif,76
11,KP_EF_R2_04.tif,86
12,KP_EF_R2_04.tif,71
13,KP_EF_R2_04.tif,85
14,KP_EF_R2_04.tif,69
15,KP_EF_R2_04.tif,58
16,KP_EF_R2_04.tif,75
1,KP_EF_R2_03.tif,69
2,KP_EF_R2_03.tif,73
3,KP_EF_R2_03.tif,81
4,KP_EF_R2_03.tif,78
5,KP_EF_R2_03.tif,80
6,KP_EF_R2_03.tif,76
7,KP_EF_R2_03.tif,72
8,KP_EF_R2_03.tif,86
9,KP_EF_R2_03.tif,91
10,KP_EF_R2_03.tif,86
11,KP_EF_R2_03.tif,77
12,KP_EF_R2_03.tif,87
13,KP_EF_R2_03.tif,85
14,KP_EF_R2_03.tif,69
15,KP_EF_R2_03.tif,73
16,KP_EF_R2_03.tif,81
1,KP_EF_R2_02.tif,66
2,KP_EF_R2_02.tif,63
3,KP_EF_R2_02.tif,78
4,KP_EF_R2_02.tif,67
5,KP_EF_R2_02.tif,77
6,KP_EF_R2_02.tif,72
7,KP_EF_R2_02.tif,76
8,KP_EF_R2_02.tif,86
9,KP_EF_R2_02.tif,78
10,KP_EF_R2_02.tif,87
11,KP_EF_R2_02.tif,65
12,KP_EF_R2_02.tif,69
13,KP_EF_R2_02.tif,81
14,KP_EF_R2_02.tif,67
15,KP_EF_R2_02.tif,68
16,KP_EF_R2_02.tif,68
1,KP_EF_R2_01.tif,65
2,KP_EF_R2_01.tif,58
3,KP_EF_R2_01.tif,77
4,KP_EF_R2_01.tif,70
5,KP_EF_R2_01.tif,65
6,KP_EF_R2_01.tif,64
7,KP_EF_R2_01.tif,73
8,KP_EF_R2_01.tif,73
9,KP_EF_R2_01.tif,82
10,KP_EF_R2_01.tif,93
11,KP_EF_R2_01.tif,74
12,KP_EF_R2_01.tif,85
13,KP_EF_R2_01.tif,80
14,KP_EF_R2_01.tif,74
15,KP_EF_R2_01.tif,68
16,KP_EF_R2_01.tif,81
1,KP_EF_R2_10.tif,63
2,KP_EF_R2_10.tif,73
3,KP_EF_R2_10.tif,76
4,KP_EF_R2_10.tif,79
5,KP_EF_R2_10.tif,76
6,KP_EF_R2_10.tif,69
7,KP_EF_R2_10.tif,70
8,KP_EF_R2_10.tif,85
9,KP_EF_R2_10.tif,83
10,KP_EF_R2_10.tif,84
11,KP_EF_R2_10.tif,71
12,KP_EF_R2_10.tif,75
13,KP_EF_R2_10.tif,81
14,KP_EF_R2_10.tif,83
15,KP_EF_R2_10.tif,60
16,KP_EF_R2_10.tif,72
1,KP_EF_R2_09.tif,68
2,KP_EF_R2_09.tif,68
3,KP_EF_R2_09.tif,78
4,KP_EF_R2_09.tif,73
5,KP_EF_R2_09.tif,80
6,KP_EF_R2_09.tif,68
7,KP_EF_R2_09.tif,82
8,KP_EF_R2_09.tif,74
9,KP_EF_R2_09.tif,83
10,KP_EF_R2_09.tif,88
11,KP_EF_R2_09.tif,78
12,KP_EF_R2_09.tif,55
13,KP_EF_R2_09.tif,86
14,KP_EF_R2_09.tif,74
15,KP_EF_R2_09.tif,72
16,KP_EF_R2_09.tif,86
1,KP_EF_R2_08.tif,68
2,KP_EF_R2_08.tif,67
3,KP_EF_R2_08.tif,80
4,KP_EF_R2_08.tif,66
5,KP_EF_R2_08.tif,64
6,KP_EF_R2_08.tif,67
7,KP_EF_R2_08.tif,70
8,KP_EF_R2_08.tif,71
9,KP_EF_R2_08.tif,89
10,KP_EF_R2_08.tif,77
11,KP_EF_R2_08.tif,67
12,KP_EF_R2_08.tif,70
13,KP_EF_R2_08.tif,90
14,KP_EF_R2_08.tif,74
15,KP_EF_R2_08.tif,62
16,KP_EF_R2_08.tif,64
1,KP_EF_R2_07.tif,59
2,KP_EF_R2_07.tif,60
3,KP_EF_R2_07.tif,73
4,KP_EF_R2_07.tif,68
5,KP_EF_R2_07.tif,74
6,KP_EF_R2_07.tif,64
7,KP_EF_R2_07.tif,71
8,KP_EF_R2_07.tif,71
9,KP_EF_R2_07.tif,78
10,KP_EF_R2_07.tif,80
11,KP_EF_R2_07.tif,69
12,KP_EF_R2_07.tif,75
13,KP_EF_R2_07.tif,76
14,KP_EF_R2_07.tif,62
15,KP_EF_R2_07.tif,64
16,KP_EF_R2_07.tif,67
1,KP_EF_R2_06.tif,59
2,KP_EF_R2_06.tif,70
3,KP_EF_R2_06.tif,77
4,KP_EF_R2_06.tif,72
5,KP_EF_R2_06.tif,76
6,KP_EF_R2_06.tif,70
7,KP_EF_R2_06.tif,71
8,KP_EF_R2_06.tif,79
9,KP_EF_R2_06.tif,101
10,KP_EF_R2_06.tif,85
11,KP_EF_R2_06.tif,72
12,KP_EF_R2_06.tif,83
13,KP_EF_R2_06.tif,78
14,KP_EF_R2_06.tif,69
15,KP_EF_R2_06.tif,69
16,KP_EF_R2_06.tif,88
1,KP_EF_R2_15.tif,65
2,KP_EF_R2_15.tif,69
3,KP_EF_R2_15.tif,76
4,KP_EF_R2_15.tif,79
5,KP_EF_R2_15.tif,81
6,KP_EF_R2_15.tif,73
7,KP_EF_R2_15.tif,81
8,KP_EF_R2_15.tif,88
9,KP_EF_R2_15.tif,70
10,KP_EF_R2_15.tif,75
11,KP_EF_R2_15.tif,79
12,KP_EF_R2_15.tif,82
13,KP_EF_R2_15.tif,86
14,KP_EF_R2_15.tif,81
15,KP_EF_R2_15.tif,66
16,KP_EF_R2_15.tif,82
1,KP_EF_R2_14.tif,68
2,KP_EF_R2_14.tif,69
3,KP_EF_R2_14.tif,81
4,KP_EF_R2_14.tif,75
5,KP_EF_R2_14.tif,71
6,KP_EF_R2_14.tif,75
7,KP_EF_R2_14.tif,85
8,KP_EF_R2_14.tif,73
9,KP_EF_R2_14.tif,92
10,KP_EF_R2_14.tif,85
11,KP_EF_R2_14.tif,76
12,KP_EF_R2_14.tif,73
13,KP_EF_R2_14.tif,81
14,KP_EF_R2_14.tif,85
15,KP_EF_R2_14.tif,73
16,KP_EF_R2_14.tif,80
1,KP_EF_R2_13.tif,54
2,KP_EF_R2_13.tif,59
3,KP_EF_R2_13.tif,79
4,KP_EF_R2_13.tif,73
5,KP_EF_R2_13.tif,82
6,KP_EF_R2_13.tif,67
7,KP_EF_R2_13.tif,72
8,KP_EF_R2_13.tif,83
9,KP_EF_R2_13.tif,84
10,KP_EF_R2_13.tif,86
11,KP_EF_R2_13.tif,90
12,KP_EF_R2_13.tif,75
13,KP_EF_R2_13.tif,86
14,KP_EF_R2_13.tif,82
15,KP_EF_R2_13.tif,61
16,KP_EF_R2_13.tif,72
1,KP_EF_R2_12.tif,64
2,KP_EF_R2_12.tif,64
3,KP_EF_R2_12.tif,74
4,KP_EF_R2_12.tif,67
5,KP_EF_R2_12.tif,72
6,KP_EF_R2_12.tif,62
7,KP_EF_R2_12.tif,64
8,KP_EF_R2_12.tif,79
9,KP_EF_R2_12.tif,89
10,KP_EF_R2_12.tif,81
11,KP_EF_R2_12.tif,67
12,KP_EF_R2_12.tif,80
13,KP_EF_R2_12.tif,74
14,KP_EF_R2_12.tif,61
15,KP_EF_R2_12.tif,67
16,KP_EF_R2_12.tif,80
1,KP_EF_R2_11.tif,67
2,KP_EF_R2_11.tif,69
3,KP_EF_R2_11.tif,74
4,KP_EF_R2_11.tif,74
5,KP_EF_R2_11.tif,84
6,KP_EF_R2_11.tif,66
7,KP_EF_R2_11.tif,82
