"","log_area_z","sex","cross","fit","se","lower","upper"
"55",-3,"m","zi251xef43",0.0866972652680539,0.0253567371284978,0.0482319123790989,0.150973045601851
"56",-2.9,"m","zi251xef43",0.0900001652425232,0.0251127866623753,0.0514360149012523,0.152819643413487
"57",-2.8,"m","zi251xef43",0.0934160251778452,0.0248182026935055,0.054837266132973,0.154693388564317
"58",-2.6,"m","zi251xef43",0.100598115508816,0.0240687012079481,0.0622701493443373,0.158529113951268
"59",-2.5,"m","zi251xef43",0.10437007613095,0.0236099123845741,0.0663212834681978,0.160495349530143
"60",-2.4,"m","zi251xef43",0.108266442803553,0.023092861834475,0.070608329384593,0.162497432232297
"61",-2.3,"m","zi251xef43",0.112290032375248,0.0225162467612634,0.0751404628426567,0.164538829971781
"62",-2.2,"m","zi251xef43",0.11644362768245,0.0218791915723803,0.0799262558067688,0.166623849503209
"63",-2,"m","zi251xef43",0.125151742442314,0.0204233411302368,0.0902880642398111,0.170947881471547
"64",-1.9,"m","zi251xef43",0.129711574189076,0.0196065640195223,0.0958747250660287,0.173202671964401
"65",-1.8,"m","zi251xef43",0.134412015762218,0.0187340597757086,0.101734919708645,0.175533907236286
"66",-1.7,"m","zi251xef43",0.139255535149592,0.01781084362269,0.107866292206838,0.177957038377238
"67",-1.6,"m","zi251xef43",0.144244504924221,0.0168447688170302,0.114260883395744,0.180492902292049
"68",-1.4,"m","zi251xef43",0.154667737002606,0.0148373173447821,0.127764376487085,0.186027917103784
"69",-1.3,"m","zi251xef43",0.160106158173734,0.0138393990381943,0.134802045506718,0.189121910498584
"70",-1.2,"m","zi251xef43",0.165698321710604,0.012891227595777,0.141949124453783,0.192529388109468
"71",-1.1,"m","zi251xef43",0.171445936726998,0.0120451938925896,0.149108862806924,0.196357003900123
"72",-0.97,"m","zi251xef43",0.179152740737173,0.0112152198668382,0.158214459498135,0.202196426190114
"73",-0.85,"m","zi251xef43",0.186504698245064,0.0108707869300109,0.166128860181075,0.208754013154464
"74",-0.73,"m","zi251xef43",0.194087023461739,0.0110750966146745,0.173296221745467,0.216718270727859
"75",-0.61,"m","zi251xef43",0.20190110060293,0.0119013300147777,0.179577229269587,0.226234869177613
"76",-0.49,"m","zi251xef43",0.209947821611207,0.0133305570095268,0.185011258912929,0.237266935121082
"77",-0.37,"m","zi251xef43",0.218227552393813,0.0152831214761963,0.18975492064379,0.249656088233375
"78",-0.25,"m","zi251xef43",0.226740099993377,0.0176666573625601,0.193987989116077,0.26321611755487
"79",-0.13,"m","zi251xef43",0.235484681065611,0.0204028144820715,0.197861015734723,0.277785018319458
