Wing_ID,trichome_count,Wing_Region
DS_Zi418Ef43_c1217_plate1a_f_03.tif,81,13
DS_Zi418Ef43_c1217_plate1a_f_03.tif,86,14
DS_Zi418Ef43_c1217_plate1a_f_03.tif,64,15
DS_Zi418Ef43_c1217_plate1a_f_03.tif,66,16
DS_Zi418Ef43_c1217_plate1a_f_04.tif,54,1
DS_Zi418Ef43_c1217_plate1a_f_04.tif,65,2
DS_Zi418Ef43_c1217_plate1a_f_04.tif,75,3
DS_Zi418Ef43_c1217_plate1a_f_04.tif,66,4
DS_Zi418Ef43_c1217_plate1a_f_04.tif,72,5
DS_Zi418Ef43_c1217_plate1a_f_04.tif,62,6
DS_Zi418Ef43_c1217_plate1a_f_04.tif,66,7
DS_Zi418Ef43_c1217_plate1a_f_04.tif,77,8
DS_Zi418Ef43_c1217_plate1a_f_04.tif,83,9
DS_Zi418Ef43_c1217_plate1a_f_04.tif,82,10
DS_Zi418Ef43_c1217_plate1a_f_04.tif,68,11
DS_Zi418Ef43_c1217_plate1a_f_04.tif,71,12
DS_Zi418Ef43_c1217_plate1a_f_04.tif,79,13
DS_Zi418Ef43_c1217_plate1a_f_04.tif,77,14
DS_Zi418Ef43_c1217_plate1a_f_04.tif,62,15
DS_Zi418Ef43_c1217_plate1a_f_04.tif,66,16
DS_Zi418Ef43_c1217_plate1a_f_05.tif,54,1
DS_Zi418Ef43_c1217_plate1a_f_05.tif,68,2
DS_Zi418Ef43_c1217_plate1a_f_05.tif,80,3
DS_Zi418Ef43_c1217_plate1a_f_05.tif,67,4
DS_Zi418Ef43_c1217_plate1a_f_05.tif,66,5
DS_Zi418Ef43_c1217_plate1a_f_05.tif,71,6
DS_Zi418Ef43_c1217_plate1a_f_05.tif,72,7
DS_Zi418Ef43_c1217_plate1a_f_05.tif,77,8
DS_Zi418Ef43_c1217_plate1a_f_05.tif,87,9
DS_Zi418Ef43_c1217_plate1a_f_05.tif,80,10
DS_Zi418Ef43_c1217_plate1a_f_05.tif,79,11
DS_Zi418Ef43_c1217_plate1a_f_05.tif,70,12
DS_Zi418Ef43_c1217_plate1a_f_05.tif,85,13
DS_Zi418Ef43_c1217_plate1a_f_05.tif,72,14
DS_Zi418Ef43_c1217_plate1a_f_05.tif,72,15
DS_Zi418Ef43_c1217_plate1a_f_05.tif,69,16
DS_Zi418Ef43_c1217_plate1a_f_06.tif,53,1
DS_Zi418Ef43_c1217_plate1a_f_06.tif,0,2
DS_Zi418Ef43_c1217_plate1a_f_06.tif,82,3
DS_Zi418Ef43_c1217_plate1a_f_06.tif,0,4
DS_Zi418Ef43_c1217_plate1a_f_06.tif,0,5
DS_Zi418Ef43_c1217_plate1a_f_06.tif,63,6
DS_Zi418Ef43_c1217_plate1a_f_06.tif,0,7
DS_Zi418Ef43_c1217_plate1a_f_06.tif,62,8
DS_Zi418Ef43_c1217_plate1a_f_06.tif,82,9
DS_Zi418Ef43_c1217_plate1a_f_06.tif,0,10
DS_Zi418Ef43_c1217_plate1a_f_06.tif,69,11
DS_Zi418Ef43_c1217_plate1a_f_06.tif,74,12
DS_Zi418Ef43_c1217_plate1a_f_06.tif,84,13
DS_Zi418Ef43_c1217_plate1a_f_06.tif,75,14
DS_Zi418Ef43_c1217_plate1a_f_06.tif,66,15
DS_Zi418Ef43_c1217_plate1a_f_06.tif,65,16
DS_Zi418Ef43_c1217_plate1a_f_07.tif,57,1
DS_Zi418Ef43_c1217_plate1a_f_07.tif,59,2
DS_Zi418Ef43_c1217_plate1a_f_07.tif,80,3
DS_Zi418Ef43_c1217_plate1a_f_07.tif,66,4
DS_Zi418Ef43_c1217_plate1a_f_07.tif,75,5
DS_Zi418Ef43_c1217_plate1a_f_07.tif,63,6
DS_Zi418Ef43_c1217_plate1a_f_07.tif,60,7
DS_Zi418Ef43_c1217_plate1a_f_07.tif,78,8
DS_Zi418Ef43_c1217_plate1a_f_07.tif,91,9
DS_Zi418Ef43_c1217_plate1a_f_07.tif,81,10
DS_Zi418Ef43_c1217_plate1a_f_07.tif,87,11
